TestID,Epic,JiraKey,Layer,SpecFile,Scenario,TestCase,Status,DurationMs,LastRun
PR-001,Patient Registration,HMS-6/7,Backend,backend/tests/duplicateCheck.test.js,findDuplicates,returns no matches when there are no patients,Pass,18,2026-08-08T04:34:38.534Z
PR-002,Patient Registration,HMS-6/7,Backend,backend/tests/duplicateCheck.test.js,findDuplicates,flags an exact name + DOB + phone match,Pass,6,2026-08-08T04:34:38.534Z
PR-003,Patient Registration,HMS-6/7,Backend,backend/tests/duplicateCheck.test.js,findDuplicates,matches regardless of case and phone formatting differences,Pass,3,2026-08-08T04:34:38.534Z
PR-004,Patient Registration,HMS-6/7,Backend,backend/tests/duplicateCheck.test.js,findDuplicates,does not flag patients with a different date of birth,Pass,5,2026-08-08T04:34:38.534Z
PR-005,Patient Registration,HMS-6/7,Backend,backend/tests/duplicateCheck.test.js,findDuplicates,does not flag patients whose name or phone differ,Pass,3,2026-08-08T04:34:38.534Z
PR-006,Patient Registration,HMS-6/7,Backend,backend/tests/duplicateCheck.test.js,findDuplicates,"excludes a given patient id, e.g. when updating that same record",Pass,4,2026-08-08T04:34:38.534Z
PR-007,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > POST /api/patients,creates a new patient record and returns 201,Pass,73,2026-08-08T04:34:38.534Z
PR-008,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > POST /api/patients,returns 400 with field errors when required fields are missing,Pass,8,2026-08-08T04:34:38.534Z
PR-009,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > POST /api/patients,returns 400 for an invalid email format,Pass,10,2026-08-08T04:34:38.534Z
PR-010,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > POST /api/patients,flags a duplicate on matching name + DOB + phone without blocking creation,Pass,14,2026-08-08T04:34:38.534Z
PR-011,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > POST /api/patients,returns 400 with an error payload for malformed JSON,Pass,18,2026-08-08T04:34:38.534Z
PR-012,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > GET /api/patients/:id,returns the patient when found,Pass,14,2026-08-08T04:34:38.534Z
PR-013,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > GET /api/patients/:id,returns 404 when the patient does not exist,Pass,6,2026-08-08T04:34:38.534Z
PR-014,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > GET /api/patients?search=,returns matching patients by name,Pass,26,2026-08-08T04:34:38.534Z
PR-015,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > GET /api/patients?search=,returns matching patients by phone,Pass,18,2026-08-08T04:34:38.534Z
PR-016,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > GET /api/patients?search=,returns matching patients by DOB,Pass,17,2026-08-08T04:34:38.534Z
PR-017,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > GET /api/patients?search=,returns an empty array when nothing matches,Pass,10,2026-08-08T04:34:38.534Z
PR-018,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > GET /api/patients?search=,returns 400 when the search query parameter is missing,Pass,13,2026-08-08T04:34:38.534Z
PR-019,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > PUT /api/patients/:id,updates an existing patient and returns 200,Pass,16,2026-08-08T04:34:38.534Z
PR-020,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > PUT /api/patients/:id,returns 404 when updating a patient that does not exist,Pass,9,2026-08-08T04:34:38.534Z
PR-021,Patient Registration,HMS-6/7,Backend,backend/tests/patients.routes.test.js,Patient Registration REST API > PUT /api/patients/:id,returns 400 with field errors when the update payload is invalid,Pass,13,2026-08-08T04:34:38.534Z
PR-022,Patient Registration,HMS-6/7,Backend,backend/tests/patientValidation.test.js,validatePatient,returns no errors for a fully valid patient,Pass,5,2026-08-08T04:34:38.534Z
PR-023,Patient Registration,HMS-6/7,Backend,backend/tests/patientValidation.test.js,validatePatient,flags all missing required fields,Pass,1,2026-08-08T04:34:38.534Z
PR-024,Patient Registration,HMS-6/7,Backend,backend/tests/patientValidation.test.js,validatePatient,rejects an invalid email format,Pass,0,2026-08-08T04:34:38.534Z
PR-025,Patient Registration,HMS-6/7,Backend,backend/tests/patientValidation.test.js,validatePatient,rejects an invalid phone format,Pass,0,2026-08-08T04:34:38.534Z
PR-026,Patient Registration,HMS-6/7,Backend,backend/tests/patientValidation.test.js,validatePatient,rejects a date of birth in the future,Pass,0,2026-08-08T04:34:38.534Z
PR-027,Patient Registration,HMS-6/7,Backend,backend/tests/patientValidation.test.js,validatePatient,rejects an unparseable date of birth,Pass,1,2026-08-08T04:34:38.534Z
PR-028,Patient Registration,HMS-4/6,Frontend,frontend/src/api/patients.test.js,patients API client (contract with HMS-6 backend),registerPatient POSTs to /patients with a JSON body,Pass,7,2026-08-08T04:34:38.534Z
PR-029,Patient Registration,HMS-4/6,Frontend,frontend/src/api/patients.test.js,patients API client (contract with HMS-6 backend),updatePatient PUTs to /patients/:id with a JSON body,Pass,4,2026-08-08T04:34:38.534Z
PR-030,Patient Registration,HMS-4/6,Frontend,frontend/src/api/patients.test.js,patients API client (contract with HMS-6 backend),getPatient GETs /patients/:id,Pass,1,2026-08-08T04:34:38.534Z
PR-031,Patient Registration,HMS-4/6,Frontend,frontend/src/api/patients.test.js,patients API client (contract with HMS-6 backend),searchPatients GETs /patients?search= per the HMS-6 contract,Pass,3,2026-08-08T04:34:38.534Z
PR-032,Patient Registration,HMS-4/6,Frontend,frontend/src/api/patients.test.js,patients API client (contract with HMS-6 backend),throws the backend error message when a request fails,Pass,4,2026-08-08T04:34:38.534Z
PR-033,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientManagement.test.jsx,PatientManagement (search -> profile -> edit flow),"lets a user search, view a profile, and edit it via a pre-filled registration form",Pass,1004,2026-08-08T04:34:38.534Z
PR-034,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientManagement.test.jsx,PatientManagement (search -> profile -> edit flow),shows a graceful error state when loading a profile fails,Pass,432,2026-08-08T04:34:38.534Z
PR-035,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientProfile.test.jsx,PatientProfile,shows a prompt when no patient is selected,Pass,47,2026-08-08T04:34:38.534Z
PR-036,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientProfile.test.jsx,PatientProfile,shows a graceful error state,Pass,75,2026-08-08T04:34:38.534Z
PR-037,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientProfile.test.jsx,PatientProfile,"renders demographics, insurance, and visit history",Pass,54,2026-08-08T04:34:38.534Z
PR-038,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientProfile.test.jsx,PatientProfile,shows an empty state when there is no visit history,Pass,10,2026-08-08T04:34:38.534Z
PR-039,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientProfile.test.jsx,PatientProfile,calls onEdit with the patient when the Edit button is clicked,Pass,72,2026-08-08T04:34:38.534Z
PR-040,Patient Registration,HMS-4,Frontend,frontend/src/components/PatientRegistrationForm.test.jsx,PatientRegistrationForm,renders fields for all acceptance-criteria data points,Pass,147,2026-08-08T04:34:38.534Z
PR-041,Patient Registration,HMS-4,Frontend,frontend/src/components/PatientRegistrationForm.test.jsx,PatientRegistrationForm,shows validation errors and does not call the API when required fields are missing,Pass,195,2026-08-08T04:34:38.534Z
PR-042,Patient Registration,HMS-4,Frontend,frontend/src/components/PatientRegistrationForm.test.jsx,PatientRegistrationForm,rejects an invalid email format,Pass,2415,2026-08-08T04:34:38.534Z
PR-043,Patient Registration,HMS-4,Frontend,frontend/src/components/PatientRegistrationForm.test.jsx,PatientRegistrationForm,"submits a valid form, calls the Patient Registration API, and shows a success state",Pass,2101,2026-08-08T04:34:38.534Z
PR-044,Patient Registration,HMS-4,Frontend,frontend/src/components/PatientRegistrationForm.test.jsx,PatientRegistrationForm,shows an error state when the Patient Registration API call fails,Pass,2063,2026-08-08T04:34:38.534Z
PR-045,Patient Registration,HMS-4,Frontend,frontend/src/components/PatientRegistrationForm.test.jsx,PatientRegistrationForm,pre-fills the form and calls updatePatient when editing an existing patient,Pass,185,2026-08-08T04:34:38.534Z
PR-046,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientSearch.test.jsx,PatientSearch,does not search until the query has at least 2 characters,Pass,579,2026-08-08T04:34:38.534Z
PR-047,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientSearch.test.jsx,PatientSearch,shows live results as the user types,Pass,393,2026-08-08T04:34:38.534Z
PR-048,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientSearch.test.jsx,PatientSearch,shows an empty state when no patients match,Pass,380,2026-08-08T04:34:38.534Z
PR-049,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientSearch.test.jsx,PatientSearch,shows a graceful error state when the search API fails,Pass,401,2026-08-08T04:34:38.534Z
PR-050,Patient Registration,HMS-5,Frontend,frontend/src/components/PatientSearch.test.jsx,PatientSearch,calls onSelectPatient when a result is clicked,Pass,420,2026-08-08T04:34:38.534Z
